Team,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Sporting de Gijón,-1 MD,min,827.463840757857,461.60791015625,0.0,0.0,0.0,20.8198586925494,0.0,787.0,788.0,-31.0,-0.0749973299781282,0.0,62.06,157.7,0.0,,,11.6,0.0,378.37,375.24,42.47,136.13,
Sporting de Gijón,-1 MD,p75,3345.17744779838,1512.97619628906,89.6942971339964,29.7123015843961,0.0,401.508783920658,4.68464215897552,1984.0,2000.0,7.0,0.022214151262555,7220.0,30.5,37.47,14.85,11.58,,32.18,89.35,62.39,62.56,-700.0,122.63,34.59
Sporting de Gijón,-1 MD,p90,3717.95682811551,1628.15417480469,124.383881020128,52.5302702579019,0.0,443.459684169998,5.04443180882168,2200.0,2206.0,13.0,0.0404194890119282,7916.0,31.2,36.86,16.3,15.25,0.0,31.45,84.8,65.52,65.32,216.67,122.55,32.33
Sporting de Gijón,-1 MD,p95,3873.94897864829,1703.22375488281,158.04662912987,69.720332484231,0.0,484.155756480944,5.25401086267398,2308.0,2321.0,15.0,0.0517552731138386,8284.0,31.94,36.37,18.08,16.36,0.0,33.11,81.86,66.88,66.96,107.14,133.51,31.31
Sporting de Gijón,MD,mean,8133.342606547511,2997.7604127708064,425.23505166857507,183.00242707333996,2.6448274166795995,939.949564543736,4.906001872013595,2296.095744680851,2305.5248226950353,-10.50354609929078,0.005858709065442571,15702.91489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,median,9232.532857757069,3272.54370117188,400.6107368989325,165.686661696877,0.0,1051.49493856168,4.85240109728944,2395.0,2406.5,-8.0,0.00557913515679812,17825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,max,14218.8413043874,6660.0205078125,1121.142677214,718.304398202408,57.5525148200622,1802.93007076233,7.8368603385458,3754.0,3751.0,31.0,0.0851098176020046,30535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,min,1333.23415135498,292.716369628906,14.6817026513949,0.0,0.0,179.474876112313,3.04412873305054,208.0,210.0,-73.0,-0.055090966729104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,p75,10967.5907944056,4038.08984375,604.200732603322,256.679384146443,0.0,1247.51773226535,5.24286634041003,3180.0,3197.0,-1.0,0.0181145870235696,20872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting de Gijón,MD,p90,11915.3445558019,4417.71728515625,762.90173831767,344.472751581236,10.5239771634396,1410.25788529666,5.94880061569037,3358.0,3377.0,6.0,0.0329813389251887,24482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
