Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,-1 MD,min,2168.72244950331,975.096252441406,8.41939521738826,0.0,0.0,193.94115710546,3.37075326428671,1333.0,1352.0,-31.0,-0.037999498313881,4839.0,100.26,139.33,14.71,0.0,,73.33,98.22,273.72,278.76,42.47,139.61,125.95
Extremo,-1 MD,p75,3489.84554671461,1574.23657226563,94.4859799169277,28.9734895717827,0.0,424.702837465075,4.73544622410829,1985.0,2001.0,5.0,0.0228977961892174,7439.0,32.7,37.39,12.19,8.61,,32.94,89.59,64.05,64.24,-100.0,95.04,35.95
Extremo,-1 MD,p90,3696.3043152296,1598.7431640625,124.668633605781,55.5984338098727,0.0,440.189893938127,5.09126255734,2212.0,2240.0,10.0,0.0373238382146131,8030.0,33.2,34.87,13.28,10.05,,31.08,85.82,64.3,65.33,,113.17,33.09
Extremo,-1 MD,p95,3721.77590289462,1644.25341796875,149.848236532775,69.720332484231,0.0,470.70472707379,5.16611121068097,2289.0,2309.0,12.0,0.0541713613166146,8284.0,32.36,34.28,15.59,12.32,0.0,32.19,79.91,66.29,66.43,600.0,145.93,32.26
Extremo,MD,mean,8438.04413691841,3129.9208655724174,588.8303944451943,278.0164773990987,2.2040477119036326,1024.085404022409,5.01489388488346,2407.230769230769,2413.096153846154,-20.384615384615383,0.014323853877213105,17106.096153846152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,median,9471.81502864278,3178.37109375,589.068557557632,256.87641863185604,0.0,1120.9364873710101,4.87648152630237,2443.5,2448.0,-15.5,0.0140004276639714,19320.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,max,12862.9218365861,5613.79248046875,1121.142677214,718.304398202408,40.9210266041335,1536.09965374106,7.8368603385458,3754.0,3751.0,11.0,0.0471036073958871,29008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,min,2163.16153724554,699.84423828125,57.2364952584614,19.1945812141543,0.0,264.490379208261,3.43170875551725,487.0,485.0,-73.0,-0.0272184572743885,3842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,p75,10671.1468345923,4209.89990234375,775.41269462652,336.452729898138,0.0,1289.33227167436,5.28589643889204,3099.0,3115.0,-5.0,0.0240928257281131,20691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,p90,11133.2468804939,4584.56787109375,938.562210745339,553.247631059685,0.0,1416.16605741182,5.93264739621769,3440.0,3429.0,0.0,0.0329813389251887,24270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,MD,p95,11502.0816955864,4796.52685546875,960.946607737398,565.910020558153,13.0177050975141,1462.04530603859,6.46510504913651,3453.0,3476.0,2.0,0.0371213893072146,25676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremo,-5 MD,mean,5168.730624626656,2157.6063639322933,188.88438118357053,78.13037854505663,0.0,667.3690551859627,4.383367667294516,2253.8333333333335,2267.5,2.3333333333333335,0.013500905632214205,10804.333333333334,61.26,68.93,32.08,28.1,0.0,65.17,87.41,93.63,93.97,-11.45,94.25,63.16
Extremo,-5 MD,median,4979.670199338,2104.05401611328,185.5680057245315,70.3157636121093,0.0,643.6093111041155,4.357262090199725,2225.0,2237.5,0.5,0.01987243887369345,11173.5,52.57,66.2,31.5,27.37,,57.42,89.35,91.06,91.4,-3.23,141.94,57.83
Extremo,-5 MD,max,6343.46530728313,2713.24389648438,253.094596697593,105.009777574356,0.0,842.320069817813,5.22053030454351,2831.0,2856.0,38.0,0.0352469244366084,12652.0,49.32,48.33,22.57,14.62,0.0,54.83,66.62,75.41,76.14,345.45,74.83,43.62
Extremo,-5 MD,min,4394.90388177615,1744.62976074219,141.842622018924,59.1639869067165,0.0,548.572215916947,3.62521891541754,1733.0,1755.0,-21.0,-0.0339519087864084,8979.0,203.17,249.29,247.82,308.23,,207.41,105.64,355.85,361.86,28.77,124.74,233.71
Extremo,-5 MD,p75,5668.51542203876,2464.9619140625,200.561153352967,98.2412530007578,0.0,707.190740173508,4.84934751885108,2728.0,2735.0,13.0,0.0328838733347152,11543.0,53.12,58.55,25.87,29.2,,54.85,91.74,88.03,87.8,-260.0,136.49,55.79
Extremo,-5 MD,p90,6343.46530728313,2713.24389648438,253.094596697593,105.009777574356,0.0,842.320069817813,5.22053030454351,2831.0,2856.0,38.0,0.0352469244366084,12652.0,56.98,59.18,26.97,18.98,,59.48,88.0,82.3,83.29,,106.87,52.13
